"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg,category,exercise_id
"Ice skating, rapidly",531,633,735,838,1.85295717014925,A,-1.0
"Speed skating, ice, competitive",885,1056,1226,1396,3.08916462089552,A,-1.0
"Cross country snow skiing, slow",413,493,572,651,1.44133935522388,B,-1.0
"Cross country skiing, moderate",472,563,654,745,1.64782526567164,B,-1.0
"Cross country skiing, vigorous",531,633,735,838,1.85295717014925,A,-1.0
"Cross country skiing, racing",826,985,1144,1303,2.88267871044776,A,-1.0
"Cross country skiing, uphill",974,1161,1348,1536,3.39787798208955,A,-1.0
"Snow skiing, downhill skiing, light",295,352,409,465,1.02972154029851,C,-1.0
"Downhill snow skiing, moderate",354,422,490,558,1.23485344477612,C,-1.0
"Downhill snow skiing, racing",472,563,654,745,1.64782526567164,B,-1.0
"Sledding, tobagganing, luge",413,493,572,651,1.44133935522388,B,-1.0
Snow shoeing,472,563,654,745,1.64782526567164,B,-1.0
Snowmobiling,207,246,286,326,0.721008179104478,D,-1.0
General housework,207,246,286,326,0.721008179104478,D,-1.0
Cleaning gutters,295,352,409,465,1.02972154029851,C,-1.0
Painting,266,317,368,419,0.927494089552239,C,-1.0
"Sit, playing with animals",148,176,204,233,0.515199271641791,D,-1.0
"Walk / run, playing with animals",236,281,327,372,0.823235629850746,D,-1.0
Bathing dog,207,246,286,326,0.721008179104478,D,-1.0
"Mowing lawn, walk, power mower",325,387,449,512,1.13262599402985,C,-1.0
"Mowing lawn, riding mower",148,176,204,233,0.515199271641791,D,-1.0
"Walking, snow blower",207,246,286,326,0.721008179104478,D,0.0
"Riding, snow blower",177,211,245,279,0.61742672238806,D,-1.0
Shoveling snow by hand,354,422,490,558,1.23485344477612,C,-1.0
Raking lawn,254,303,351,400,0.885519904477612,C,-1.0
"Gardening, general",236,281,327,372,0.823235629850746,D,37.0
"Bagging grass, leaves",236,281,327,372,0.823235629850746,D,-1.0
Watering lawn or garden,89,106,123,140,0.310067367164179,D,-1.0
"Weeding, cultivating garden",266,317,368,419,0.927494089552239,C,-1.0
"Carpentry, general",207,246,286,326,0.721008179104478,D,-1.0
Carrying heavy loads,472,563,654,745,1.64782526567164,B,-1.0
Carrying moderate loads upstairs,472,563,654,745,1.64782526567164,B,-1.0
General cleaning,207,246,286,326,0.721008179104478,D,-1.0
"Cleaning, dusting",148,176,204,233,0.515199271641791,D,-1.0
Taking out trash,177,211,245,279,0.61742672238806,D,-1.0
"Walking, pushing a wheelchair",236,281,327,372,0.823235629850746,D,0.0
"Teach physical education,exercise class",236,281,327,372,0.823235629850746,D,-1.0
